filename,makespan,time,ub
5135_40j_10m,356.0,1800.4457387924194,356.0
5136_40j_10m,391.0,1800.4432470798492,391.0
5137_40j_10m,360.0,1800.4739997386932,360.0
5139_40j_10m,372.0,1800.470641374588,372.0
5140_40j_10m,362.0,1800.4463198184967,362.0
5141_40j_10m,376.0,1800.4910423755646,376.0
5143_40j_10m,368.0,1800.4886202812195,368.0
5144_40j_10m,373.0,1800.4540503025055,373.0
5145_40j_10m,388.0,1800.4475634098053,388.0
5147_40j_10m,379.0,1800.4616129398346,379.0
5148_40j_10m,368.0,1800.4767422676086,368.0
5150_40j_10m,369.0,1800.470398426056,369.0
5151_40j_10m,357.0,1800.4733211994171,357.0
5152_40j_10m,380.0,126.27920937538147,380.0
5154_40j_10m,348.0,1800.49778175354,348.0
5155_40j_10m,390.0,1800.5345258712769,390.0
5156_40j_10m,359.0,1800.6360461711884,359.0
5158_40j_10m,364.0,1800.5986919403076,364.0
5159_40j_10m,363.0,1800.3231773376465,363.0
5200_40j_10m,351.0,1800.4714727401733,351.0
5202_40j_10m,361.0,1800.5148367881775,361.0
5203_40j_10m,350.0,1800.1875522136688,350.0
5204_40j_10m,374.0,1800.5299279689789,374.0
5206_40j_10m,398.0,1800.4746680259705,398.0
5207_40j_10m,385.0,1800.4538667201996,385.0
5208_40j_10m,366.0,1800.3919627666473,366.0
5210_40j_10m,386.0,1800.3663520812988,386.0
5211_40j_10m,388.0,1800.335480928421,388.0
5213_40j_10m,395.0,1800.3707928657532,395.0
5214_40j_10m,377.0,1800.4425256252289,377.0
5215_40j_10m,375.0,1800.0341556072235,375.0
5217_40j_10m,378.0,1800.3572509288788,378.0
5218_40j_10m,375.0,1800.425722360611,375.0
5219_40j_10m,372.0,1800.308987379074,372.0
5221_40j_10m,385.0,1800.4408495426178,385.0
5222_40j_10m,362.0,1800.4084196090698,362.0
5223_40j_10m,378.0,1800.415382385254,378.0
5225_40j_10m,372.0,1800.3907718658447,372.0
5226_40j_10m,381.0,1800.3634564876556,381.0
5227_40j_10m,377.0,1800.436039686203,377.0
5229_40j_10m,374.0,1800.490407705307,374.0
5230_40j_10m,371.0,1800.4743332862854,371.0
5232_40j_10m,368.0,1800.4383974075317,368.0
5233_40j_10m,368.0,1800.3310549259186,368.0
5234_40j_10m,354.0,1800.4001488685608,354.0
5236_40j_10m,363.0,1800.4642412662506,363.0
5237_40j_10m,370.0,1800.4478085041046,370.0
5238_40j_10m,367.0,1800.4050123691559,367.0
5240_40j_10m,362.0,1800.4469785690308,362.0
5241_40j_10m,355.0,1800.5037729740143,355.0
5242_40j_10m,358.0,1800.2804772853851,358.0
5244_40j_10m,353.0,1800.4296581745148,353.0
5245_40j_10m,374.0,1800.4294018745422,374.0
5246_40j_10m,349.0,1800.44016122818,349.0
5248_40j_10m,339.0,1800.3656322956085,339.0
5249_40j_10m,354.0,1800.4315867424011,354.0
5250_40j_10m,369.0,1800.456161737442,369.0
5252_40j_10m,354.0,1800.3950448036194,354.0
5253_40j_10m,349.0,1800.338624238968,349.0
5254_40j_10m,362.0,1800.4664242267609,362.0
5256_40j_10m,367.0,1800.4545884132385,367.0
5257_40j_10m,372.0,1800.2170538902283,372.0
5258_40j_10m,365.0,1800.2763471603394,365.0
5300_40j_10m,342.0,1800.4638893604279,342.0
5301_40j_10m,375.0,1800.346601009369,375.0
5303_40j_10m,374.0,1800.3007385730743,374.0
5304_40j_10m,359.0,1800.3871269226074,359.0
5305_40j_10m,359.0,1800.4657368659973,359.0
5307_40j_10m,361.0,1800.4764533042908,361.0
5308_40j_10m,343.0,1800.4677901268005,343.0
5309_40j_10m,350.0,1800.3840718269348,350.0
5311_40j_10m,369.0,1800.4663679599762,369.0
10x5+mix_001,388.0,220.0854570865631,388.0
10x5+mix_002,284.0,21.081698417663574,284.0
10x5+mix_003,289.0,64.26160001754761,289.0
10x5+mix_004,305.0,493.04931020736694,305.0
10x5+mix_005,366.0,530.8738050460815,366.0
10x5+mix_006,336.0,5.920404672622681,336.0
10x5+mix_007,328.0,50.96877861022949,328.0
10x5+mix_008,368.0,6.740569591522217,368.0
10x5+mix_009,346.0,166.27784180641174,346.0
10x5+mix_010,354.0,14.231672286987305,354.0
10x5+mix_011,314.0,63.71680402755737,314.0
10x5+mix_012,465.0,2.1972951889038086,465.0
10x5+mix_013,396.0,67.75037550926208,396.0
10x5+mix_014,350.0,31.151394844055176,350.0
10x5+mix_015,266.0,23.04221224784851,266.0
10x5+mix_016,336.0,28.886752128601074,336.0
10x5+mix_017,335.0,1800.5386774539948,335.0
10x5+mix_018,249.0,54.47237277030945,249.0
10x5+mix_019,287.0,102.88968014717102,287.0
10x5+mix_020,344.0,657.6388261318207,344.0
10x5+mix_021,276.0,34.61357593536377,276.0
10x5+mix_022,286.0,36.18539071083069,286.0
10x5+mix_023,368.0,8.37172555923462,368.0
10x5+mix_024,334.0,195.6569128036499,334.0
10x5+mix_025,362.0,31.23008918762207,362.0
10x5+mix_026,297.0,121.00963878631592,297.0
10x5+mix_027,323.0,14.636476516723633,323.0
10x5+mix_028,342.0,1042.390017747879,342.0
10x5+mix_029,306.0,124.93909096717834,306.0
10x5+mix_030,277.0,287.82524061203003,277.0
10x5+mix_031,259.0,1722.2429194450378,259.0
10x5+mix_032,383.0,3.4529097080230713,383.0
10x5+mix_033,346.0,255.40875887870789,346.0
10x5+mix_034,316.0,12.77382493019104,316.0
10x5+mix_035,354.0,2.5926215648651123,354.0
10x5+mix_036,325.0,5.062066078186035,325.0
10x5+mix_037,323.0,23.07883381843567,323.0
10x5+mix_038,367.0,71.59709143638611,367.0
10x5+mix_039,352.0,2.453519582748413,352.0
10x5+mix_040,294.0,119.19596767425537,294.0
10x5+mix_041,336.0,36.85040068626404,336.0
10x5+mix_042,288.0,14.47888994216919,288.0
10x5+mix_043,352.0,210.424156665802,352.0
10x5+mix_044,402.0,204.34474968910217,402.0
10x5+mix_045,337.0,76.75005555152893,337.0
10x5+mix_046,292.0,27.28339195251465,292.0
10x5+mix_047,369.0,14.099447965621948,369.0
10x5+mix_048,413.0,1.7084908485412598,413.0
10x5+mix_049,357.0,7.902008056640625,357.0
10x5+mix_050,331.0,199.168927192688,331.0
10x5+mix_051,362.0,8.320635080337524,362.0
10x5+mix_052,415.0,0.6695168018341064,415.0
10x5+mix_053,330.0,46.78329801559448,330.0
10x5+mix_054,291.0,40.84342622756958,291.0
10x5+mix_055,236.0,18.06246852874756,236.0
10x5+mix_056,295.0,48.055346727371216,295.0
10x5+mix_057,415.0,14.929343938827515,415.0
10x5+mix_058,246.0,15.194312810897827,246.0
10x5+mix_059,266.0,141.5665180683136,266.0
10x5+mix_060,283.0,19.653905391693115,283.0
10x5+mix_061,279.0,15.28835678100586,279.0
10x5+mix_062,392.0,7.464616775512695,392.0
10x5+mix_063,306.0,4.9832727909088135,306.0
10x5+mix_064,292.0,4.923387050628662,292.0
10x5+mix_065,316.0,1800.247498035431,316.0
10x5+mix_066,270.0,621.9385461807251,270.0
10x5+mix_067,328.0,8.433164596557617,328.0
10x5+mix_068,342.0,2.9728596210479736,342.0
10x5+mix_069,253.0,76.05336618423462,253.0
10x5+mix_070,358.0,33.111342906951904,358.0
10x5+mix_071,354.0,1800.2353303432465,354.0
10x5+mix_072,282.0,11.964288234710693,282.0
10x5+mix_073,306.0,51.901294469833374,306.0
10x5+mix_074,289.0,4.442507266998291,289.0
10x5+mix_075,357.0,1800.217939376831,357.0
10x5+mix_076,347.0,3.173992872238159,347.0
10x5+mix_077,332.0,99.48591709136963,332.0
10x5+mix_078,295.0,161.8779797554016,295.0
10x5+mix_079,345.0,298.5175950527191,345.0
10x5+mix_080,322.0,435.872891664505,322.0
10x5+mix_081,283.0,174.2301206588745,283.0
10x5+mix_082,332.0,11.031946659088135,332.0
10x5+mix_083,349.0,2.246849298477173,349.0
10x5+mix_084,316.0,71.32417750358582,316.0
10x5+mix_085,363.0,18.998783349990845,363.0
10x5+mix_086,348.0,11.74366807937622,348.0
10x5+mix_087,351.0,319.4650421142578,351.0
10x5+mix_088,348.0,1.4040961265563965,348.0
10x5+mix_089,342.0,148.81678342819214,342.0
10x5+mix_090,308.0,1291.4335689544678,308.0
10x5+mix_091,309.0,65.05253982543945,309.0
10x5+mix_092,272.0,37.027135372161865,272.0
10x5+mix_093,302.0,15.317475080490112,302.0
10x5+mix_094,316.0,6.621625185012817,316.0
10x5+mix_095,348.0,8.941732406616211,348.0
10x5+mix_096,333.0,733.5713939666748,333.0
10x5+mix_097,259.0,278.01700711250305,259.0
10x5+mix_098,320.0,4.333420515060425,320.0
10x5+mix_099,311.0,5.9946112632751465,311.0
10x5+mix_100,337.0,157.77575397491455,337.0
15x10+mix_001,358.0,1803.0647661685944,358.0
15x10+mix_002,349.0,1802.7530670166016,349.0
15x10+mix_003,351.0,796.0344774723053,351.0
15x10+mix_004,355.0,1357.0987613201141,355.0
15x10+mix_005,394.0,689.0705547332764,394.0
15x10+mix_006,431.0,1802.9583373069763,431.0
15x10+mix_007,377.0,335.9936773777008,377.0
15x10+mix_008,374.0,1802.9456462860107,374.0
15x10+mix_009,365.0,1802.7485733032227,365.0
15x10+mix_010,358.0,1802.7387704849243,358.0
15x10+mix_011,481.0,35.470481395721436,481.0
15x10+mix_012,394.0,1802.853971004486,394.0
